species,latitude,longitude
Asterias amurensis (Northern Pacific Seastar),-4.703806,-56.241077
Pterois miles (Devil Firefish),-19.279582,-135.108239
Undaria pinnatifida (Wakame),-21.242157,-46.403822
Didemnum vexillum (Marine Tunicate),-22.882301,-116.475762
Pterois volitans (Lionfish),11.29175,-98.794052
Pterois volitans (Lionfish),-26.1119,-48.686769
Pterois miles (Devil Firefish),10.779101,-24.554128
Pterois miles (Devil Firefish),-24.158851,-144.837963
Pterois volitans (Lionfish),-19.756882,-36.016907
Pterois volitans (Lionfish),30.99243,-142.256341
Carcinus maenas (European Green Crab),-26.05349,-129.520843
Carcinus maenas (European Green Crab),36.089542,-132.474143
Didemnum vexillum (Marine Tunicate),-5.13398,-93.640921
Pterois volitans (Lionfish),9.083246,-83.550672
Didemnum vexillum (Marine Tunicate),-35.656357,-89.008216
Carcinus maenas (European Green Crab),-4.048159,-59.168543
Didemnum vexillum (Marine Tunicate),2.691575,-139.593044
Undaria pinnatifida (Wakame),-17.549373,-34.377231
Carcinus maenas (European Green Crab),-2.429913,-147.448444
Undaria pinnatifida (Wakame),-25.254564,-64.787103
Didemnum vexillum (Marine Tunicate),-24.301709,-151.129617
Asterias amurensis (Northern Pacific Seastar),32.873748,-136.543901
Undaria pinnatifida (Wakame),19.017368,-122.442151
Carcinus maenas (European Green Crab),14.939919,-147.796265
Didemnum vexillum (Marine Tunicate),-1.696289,-143.449612
Undaria pinnatifida (Wakame),-14.683692,-113.653904
Pterois volitans (Lionfish),9.054534,-142.84798
Pterois miles (Devil Firefish),11.938273,-26.203878
Didemnum vexillum (Marine Tunicate),8.721747,-81.545052
Pterois miles (Devil Firefish),-24.638088,-142.828875
Asterias amurensis (Northern Pacific Seastar),6.464054,-27.257773
Undaria pinnatifida (Wakame),33.401493,-73.185889
Asterias amurensis (Northern Pacific Seastar),-19.608617,-148.585586
Pterois volitans (Lionfish),-19.015879,-81.35491
Pterois volitans (Lionfish),1.854554,-79.940042
Didemnum vexillum (Marine Tunicate),23.937679,-56.509284
Pterois miles (Devil Firefish),7.423813,-116.768137
Pterois miles (Devil Firefish),24.116516,-93.104568
Undaria pinnatifida (Wakame),-26.205366,-86.643499
Undaria pinnatifida (Wakame),-21.142661,-84.949745
Asterias amurensis (Northern Pacific Seastar),9.05445,-21.345574
Pterois miles (Devil Firefish),3.359072,-158.384545
Carcinus maenas (European Green Crab),-9.156268,-75.349753
Asterias amurensis (Northern Pacific Seastar),11.826472,-139.978642
Pterois volitans (Lionfish),23.967314,-130.428152
Didemnum vexillum (Marine Tunicate),-39.143572,-91.136022
Pterois miles (Devil Firefish),23.210586,-76.663826
Asterias amurensis (Northern Pacific Seastar),-21.908641,-70.765432
Undaria pinnatifida (Wakame),19.903151,-109.823211
Undaria pinnatifida (Wakame),31.036378,-54.907557
Carcinus maenas (European Green Crab),-31.185481,-120.877095
Asterias amurensis (Northern Pacific Seastar),-31.29594,-138.894865
Pterois miles (Devil Firefish),31.089775,-60.119828
Pterois miles (Devil Firefish),-8.762186,-152.421802
Asterias amurensis (Northern Pacific Seastar),-11.598391,-92.541081
Pterois miles (Devil Firefish),-3.571736,-157.670325
Undaria pinnatifida (Wakame),-10.299448,-125.77593
Pterois miles (Devil Firefish),-28.898342,-47.247371
Pterois miles (Devil Firefish),22.464869,-20.576527
Undaria pinnatifida (Wakame),-35.472325,-43.248192
Asterias amurensis (Northern Pacific Seastar),18.317566,-155.716866
Asterias amurensis (Northern Pacific Seastar),-17.143036,-157.180095
Pterois volitans (Lionfish),-2.088354,-121.362406
Didemnum vexillum (Marine Tunicate),-9.615398,-147.274535
Asterias amurensis (Northern Pacific Seastar),16.541169,-65.192765
Carcinus maenas (European Green Crab),-19.343165,-149.012474
Pterois miles (Devil Firefish),8.315473,-132.9654
Undaria pinnatifida (Wakame),29.301207,-120.091974
Undaria pinnatifida (Wakame),28.465434,-121.7374
Didemnum vexillum (Marine Tunicate),3.054932,-100.317076
Pterois miles (Devil Firefish),24.309769,-100.098384
Undaria pinnatifida (Wakame),-13.860715,-34.227973
Asterias amurensis (Northern Pacific Seastar),-14.653848,-107.382213
Asterias amurensis (Northern Pacific Seastar),21.674157,-25.708448
Didemnum vexillum (Marine Tunicate),8.434448,-68.192372
Asterias amurensis (Northern Pacific Seastar),-17.29052,-75.678296
Asterias amurensis (Northern Pacific Seastar),25.059187,-110.599286
Undaria pinnatifida (Wakame),28.433195,-39.42184
Undaria pinnatifida (Wakame),25.609761,-62.797553
Didemnum vexillum (Marine Tunicate),-14.781906,-30.809147
Pterois miles (Devil Firefish),38.842387,-65.598641
Pterois miles (Devil Firefish),20.316151,-80.96874
Undaria pinnatifida (Wakame),7.153972,-52.500536
Didemnum vexillum (Marine Tunicate),32.763338,-94.838415
Carcinus maenas (European Green Crab),-29.482056,-85.729658
Carcinus maenas (European Green Crab),-38.418331,-140.820741
Asterias amurensis (Northern Pacific Seastar),8.16683,-66.45315
Pterois miles (Devil Firefish),-0.407575,-108.132579
Undaria pinnatifida (Wakame),22.647574,-99.835324
Pterois volitans (Lionfish),38.705665,-56.82139
Pterois miles (Devil Firefish),-22.828133,-59.18093
Carcinus maenas (European Green Crab),-8.94525,-65.326622
Pterois volitans (Lionfish),30.897633,-51.799118
Pterois volitans (Lionfish),-2.061473,-99.069904
Pterois volitans (Lionfish),-6.797106,-151.875595
Pterois miles (Devil Firefish),33.444661,-133.232432
Pterois miles (Devil Firefish),20.966951,-70.682874
Asterias amurensis (Northern Pacific Seastar),12.462082,-112.889387
Undaria pinnatifida (Wakame),-3.88726,-79.813331
Asterias amurensis (Northern Pacific Seastar),-35.371088,-48.473238
Undaria pinnatifida (Wakame),-0.375572,-117.408855
Asterias amurensis (Northern Pacific Seastar),-13.092146,-111.62433
Pterois volitans (Lionfish),5.835338,-56.874009
Pterois miles (Devil Firefish),-8.903545,-73.230306
Didemnum vexillum (Marine Tunicate),15.803943,-61.636073
Asterias amurensis (Northern Pacific Seastar),17.226844,-119.318094
Didemnum vexillum (Marine Tunicate),-7.471756,-65.158638
Undaria pinnatifida (Wakame),-39.264993,-106.115708
Didemnum vexillum (Marine Tunicate),-30.172714,-147.61747
Didemnum vexillum (Marine Tunicate),13.632976,-147.73091
Carcinus maenas (European Green Crab),-5.849199,-67.887133
Undaria pinnatifida (Wakame),6.573521,-20.734646
Pterois volitans (Lionfish),-12.947969,-107.080349
Carcinus maenas (European Green Crab),16.105514,-96.704805
Pterois miles (Devil Firefish),-11.220867,-117.812961
Undaria pinnatifida (Wakame),-17.082995,-132.802311
Didemnum vexillum (Marine Tunicate),31.261822,-118.239043
Pterois volitans (Lionfish),32.729427,-126.515843
Undaria pinnatifida (Wakame),-4.669168,-97.059171
Didemnum vexillum (Marine Tunicate),17.351462,-24.894437
Pterois volitans (Lionfish),-38.256256,-29.320868
Didemnum vexillum (Marine Tunicate),-33.916318,-33.795415
Didemnum vexillum (Marine Tunicate),-2.079925,-58.356381
Undaria pinnatifida (Wakame),-36.456334,-46.846465
Carcinus maenas (European Green Crab),-16.189754,-44.048014
Pterois volitans (Lionfish),-25.800969,-53.5776
Pterois volitans (Lionfish),21.223297,-42.681627
Asterias amurensis (Northern Pacific Seastar),-19.258471,-43.709306
Carcinus maenas (European Green Crab),-4.236436,-31.288997
Pterois miles (Devil Firefish),30.220548,-126.512239
Pterois miles (Devil Firefish),26.829726,-124.470064
Pterois miles (Devil Firefish),-31.45179,-143.199718
Asterias amurensis (Northern Pacific Seastar),30.510165,-145.213311
Didemnum vexillum (Marine Tunicate),9.483438,-158.043409
Asterias amurensis (Northern Pacific Seastar),-16.584107,-67.395402
Pterois volitans (Lionfish),-22.944278,-59.089566
Didemnum vexillum (Marine Tunicate),14.736247,-108.058009
Didemnum vexillum (Marine Tunicate),39.891651,-97.588763
Pterois miles (Devil Firefish),-24.377453,-120.902671
Pterois volitans (Lionfish),-36.721511,-23.097398
Pterois miles (Devil Firefish),-25.924446,-101.166569
Undaria pinnatifida (Wakame),1.309958,-65.284289
Undaria pinnatifida (Wakame),-17.339037,-32.74437
Undaria pinnatifida (Wakame),10.024205,-128.013198
Didemnum vexillum (Marine Tunicate),16.83635,-45.80517
Asterias amurensis (Northern Pacific Seastar),9.086694,-112.209838
Didemnum vexillum (Marine Tunicate),-16.444354,-146.094301
Undaria pinnatifida (Wakame),-16.431747,-147.038442
Undaria pinnatifida (Wakame),-33.363474,-116.546951
Pterois volitans (Lionfish),1.062102,-95.750515
